Land
IDA blend,1359000.0
Indonesia,676000.0
IDA only,3219000.0
Isle of Man,
India,3045000.0
Not classified,
Ireland,9000.0
"Iran, Islamic Rep.",650000.0
Iraq,341000.0
Iceland,0.0
Israel,178000.0
Italy,342000.0
Jamaica,6000.0
Jordan,116000.0
Japan,261000.0
Kazakhstan,71000.0
Kenya,29000.0
Kyrgyz Republic,21000.0
Cambodia,191000.0
Kiribati,
St. Kitts and Nevis,
"Korea, Rep.",613000.0
Kuwait,25000.0
Latin America & Caribbean (excluding high income),2293000.0
Lao PDR,129000.0
Lebanon,80000.0
Liberia,2000.0
Libya,
St. Lucia,
Latin America & Caribbean,2788000.0
Least developed countries: UN classification,2843000.0
Low income,3178000.0
Liechtenstein,
Sri Lanka,317000.0
Lower middle income,10235000.0
Low & middle income,21987000.0
Lesotho,2000.0
Late-demographic dividend,9557000.0
Lithuania,37000.0
Luxembourg,1000.0
Latvia,6000.0
St. Martin (French part),
Morocco,246000.0
Monaco,
Moldova,6000.0
Madagascar,22000.0
Maldives,
Middle East & North Africa,3564000.0
Mexico,328000.0
Marshall Islands,
Middle income,18809000.0
North Macedonia,16000.0
Mali,21000.0
Malta,2000.0
Myanmar,513000.0
Middle East & North Africa (excluding high income),2956000.0
Montenegro,12000.0
Mongolia,18000.0
Northern Mariana Islands,
Mozambique,11000.0
Mauritania,21000.0
Mauritius,3000.0
Malawi,15000.0
Malaysia,136000.0
North America,1460000.0
Namibia,16000.0
New Caledonia,
Niger,10000.0
Nigeria,223000.0
Nicaragua,12000.0
Netherlands,41000.0
Norway,23000.0
Nepal,112000.0
Nauru,
New Zealand,9000.0
OECD members,5936000.0
Oman,47000.0
Other small states,148000.0
Pakistan,943000.0
Panama,28000.0
Peru,158000.0
Philippines,155000.0
Palau,
Papua New Guinea,4000.0
Poland,189000.0
Pre-demographic dividend,2204000.0
Puerto Rico,
"Korea, Dem. People's Rep.",1469000.0
Portugal,52000.0
Paraguay,29000.0
West Bank and Gaza,0.0
Pacific island small states,
Post-demographic dividend,4748000.0
French Polynesia,
Qatar,22000.0
Romania,126000.0
Russia,1454000.0
Rwanda,35000.0
South Asia,4922000.0
Saudi Arabia,252000.0
Sudan,124000.0
Senegal,19000.0
Singapore,59000.0
Solomon Islands,
Sierra Leone,9000.0
El Salvador,42000.0
San Marino,
Somalia,20000.0
Serbia,32000.0
Sub-Saharan Africa (excluding high income),1951000.0
South Sudan,185000.0
Sub-Saharan Africa,1951000.0
Small states,173000.0
Sao Tome and Principe,
Suriname,2000.0
Slovak Republic,16000.0
Slovenia,7000.0
Sweden,15000.0
Eswatini,
Sint Maarten (Dutch part),
Seychelles,0.0
Syrian Arab Republic,269000.0
Turks and Caicos Islands,
Chad,45000.0
East Asia & Pacific (IDA & IBRD countries),5340000.0
Europe & Central Asia (IDA & IBRD countries),3263000.0
Togo,10000.0
Thailand,455000.0
Tajikistan,17000.0
Turkmenistan,42000.0
Latin America & the Caribbean (IDA & IBRD countries),2709000.0
Timor-Leste,2000.0
Middle East & North Africa (IDA & IBRD countries),2956000.0
Tonga,
South Asia (IDA & IBRD),4922000.0
Sub-Saharan Africa (IDA & IBRD countries),1951000.0
Trinidad and Tobago,5000.0
Tunisia,48000.0
Turkey,512000.0
Tuvalu,
Tanzania,28000.0
Uganda,46000.0
Ukraine,311000.0
Upper middle income,8574000.0
Uruguay,22000.0
United States,1388000.0
Uzbekistan,68000.0
St. Vincent and the Grenadines,
"Venezuela, RB",343000.0
British Virgin Islands,
Virgin Islands (U.S.),
Vietnam,522000.0
Vanuatu,
World,27671000.0
Samoa,
Kosovo,
"Yemen, Rep.",40000.0
South Africa,90000.0
Zambia,16000.0
Zimbabwe,51000.0
